title,category,content,keywords,source
What Is Networth,strategy,"Networth is a measurement of province value used for comparing strength, matchmaking, and target evaluation.","networth,nw,value,target","utopia wiki"
What Are Acres,strategy,"Acres represent province land size and influence available for buildings and population.","acres,land,province size","utopia wiki"
What Is Defense,strategy,"Defense represents a province's ability to resist attacks. Higher defense makes successful attacks more difficult.","defense,def,dspa","utopia wiki"
What Is Offense,strategy,"Offense represents military attack strength used to break enemy defenses and gain land.","offense,off,ospa","utopia wiki"
What Is BE,strategy,"Building Efficiency measures how effectively buildings operate and affects province performance.","be,building efficiency","utopia wiki"
What Is TPA,strategy,"Thieves Per Acre measures thief density and affects thievery success and operations.","tpa,thieves,thievery","utopia wiki"
What Is WPA,strategy,"Wizards Per Acre measures magical strength and affects spell ability.","wpa,wizards,magic","utopia wiki"
What Is SPA,strategy,"Soldiers Per Acre measures soldier density and military presence.","spa,soldiers,military","utopia wiki"
Reading Intel,strategy,"Province intel provides information needed to evaluate targets and make strategic decisions.","reading intel,province intel","utopia wiki"
Attack Readiness,strategy,"A province is attack ready when armies, resources, intel, and coordination are prepared.","ready,attack,war","utopia wiki"
Wave Commander Role,strategy,"A wave commander coordinates targets, timing, and communication during kingdom attacks.","commander,wave leader,coordination","utopia wiki"
Intel Coordinator Role,strategy,"An intel coordinator gathers and organizes information for kingdom decision making.","intel coordinator,leadership","utopia wiki"
War Room Purpose,strategy,"A war room organizes kingdom intelligence, targets, operations, alerts, and planning.","war room,nexus,command","utopia wiki"
Alert System Purpose,strategy,"Alerts help kingdoms react quickly to hostile actions, attacks, and important events.","alerts,warning,hostile","utopia wiki"
Kingdom Intelligence,strategy,"Kingdom intelligence combines province information to support strategic decisions.","kingdom intel,data,planning","utopia wiki"
Enemy Threat Rating,strategy,"Threat rating evaluates enemy provinces based on strength, role, activity, and strategic importance.","threat,target,analysis","utopia wiki"
