title,category,content,keywords,source
Offensive Magic Strategy,strategy,"Offensive spells are used to weaken enemy provinces before attacks by reducing military, economy, population, or effectiveness.","offensive magic,ops,spells,war","utopia wiki"
Defensive Magic Strategy,strategy,"Defensive spells improve province survival by protecting military, economy, and battlefield performance.","defensive magic,spells,protection,war","utopia wiki"
Spell Timing Strategy,strategy,"The timing of spells is important. Cast offensive spells before coordinated attacks and defensive spells before expected enemy actions.","spell timing,magic,war preparation","utopia wiki"
Fireball Strategy,strategy,"Fireball damages enemy provinces by reducing peasants and resources. Used to weaken enemy economy and population.","fireball,fb,offensive spell","utopia wiki"
Meteor Showers Strategy,strategy,"Meteor Showers creates ongoing pressure against an enemy province through repeated damage.","meteor showers,ms,damage,offensive magic","utopia wiki"
Chastity Strategy,strategy,"Chastity limits enemy population growth and reduces recovery ability.","chastity,population,recovery","utopia wiki"
Amnesia Strategy,strategy,"Amnesia reduces enemy science progress and weakens long term province development.","amnesia,science,magic","utopia wiki"
Greed Strategy,strategy,"Greed reduces enemy economic efficiency and increases resource pressure.","greed,economy,spell","utopia wiki"
Pitfalls Strategy,strategy,"Pitfalls increases losses suffered by attacking armies and improves defensive effectiveness.","pitfalls,defense,army losses","utopia wiki"
Reflect Magic Strategy,strategy,"Reflect Magic provides protection against enemy spells by returning magical effects.","reflect magic,defense,magic","utopia wiki"
Magic Shield Strategy,strategy,"Magic Shield improves province protection against hostile magic.","magic shield,protection,defense","utopia wiki"
Inspire Army Strategy,strategy,"Inspire Army improves offensive military effectiveness and is commonly maintained by attackers.","inspire army,ia,offense,military","utopia wiki"
Love and Peace Strategy,strategy,"Love and Peace provides province protection and supports defensive play styles.","love and peace,protection,defense","utopia wiki"
Greater Protection Strategy,strategy,"Greater Protection improves province defense by reducing losses and protecting military value.","greater protection,gp,defense","utopia wiki"
Town Watch Strategy,strategy,"Town Watch increases defensive population participation during attacks.","town watch,defense,population","utopia wiki"
War Spoils Strategy,strategy,"War Spoils affects gains and recovery during war conditions.","war spoils,war,relations","utopia wiki"
