title,category,content,keywords,source
Province Build Advisor,strategy,"A province build should match its race, personality, battlefield role, and kingdom strategy.","build advisor,province,role","utopia wiki"
Offensive Province,strategy,"Offensive provinces prioritize military offense, attack strength, and land gaining ability.","offensive province,attacker,ospa","utopia wiki"
Defensive Province,strategy,"Defensive provinces prioritize defense, survival, and protecting kingdom resources.","defensive province,dspa,defense","utopia wiki"
Mage Province,strategy,"Mage provinces prioritize wizards, rune supply, and effective spell usage.","mage province,wizards,runes","utopia wiki"
Thief Province,strategy,"Thief provinces prioritize thieves, intelligence operations, and sabotage effectiveness.","thief province,tpa,operations","utopia wiki"
Hybrid Province Advisor,strategy,"Hybrid provinces balance multiple abilities and require careful management of military, magic, and thievery.","hybrid province,balance","utopia wiki"
Building Efficiency,strategy,"Building Efficiency affects province performance and should be maintained when possible.","be,building efficiency,buildings","utopia wiki"
Population Management,strategy,"Population management balances peasants, military units, thieves, and wizards for optimal performance.","population,peasants,military","utopia wiki"
Military Balance,strategy,"Military balance considers offense, defense, losses, and the province's battlefield purpose.","military balance,offense,defense","utopia wiki"
Economy Management,strategy,"Economy management keeps a province supplied with gold, food, and resources needed for growth and war.","economy,gold,food","utopia wiki"
Science Planning,strategy,"Science development improves province capabilities and should support the chosen role.","science,development,province","utopia wiki"
Training Strategy,strategy,"Military training timing affects readiness, costs, and war preparation.","training,military,preparation","utopia wiki"
Draft Management,strategy,"Draft levels affect military size, economy, and province performance.","draft,military,population","utopia wiki"
War Preparation Checklist,strategy,"Before war, prepare military, spells, thieves, resources, and communication plans.","war prep,checklist,ready","utopia wiki"
Post War Recovery Advisor,strategy,"After war, focus on rebuilding buildings, military, economy, and long-term province health.","recovery,rebuild,advisor","utopia wiki"
Target Evaluation Advisor,strategy,"Evaluate enemy provinces using networth, defense, offense, race, personality, and available intel.","target evaluation,intel,nw","utopia wiki"
