title,category,content,keywords,source
Thievery Preparation,strategy,"Before running operations, gather current intel and evaluate target defense, thieves, and kingdom situation.","thievery preparation,intel,tpa,ops","utopia wiki"
Thief Density,strategy,"Thief strength affects operation success. Maintain enough thieves for intelligence and sabotage actions.","tpa,thieves,thievery strength","utopia wiki"
Intel First Rule,strategy,"Always gather intelligence before committing attacks or operations. Old information can lead to poor decisions.","intel first,sot,som,survey","utopia wiki"
Spy on Throne Workflow,strategy,"Use Spy on Throne first to understand the target province before deciding whether additional operations or attacks are worthwhile.","sot,workflow,intel","utopia wiki"
Spy on Military Workflow,strategy,"Use Spy on Military to evaluate enemy troop numbers and determine attack feasibility.","som,military,intel","utopia wiki"
Survey Workflow,strategy,"Use Survey to identify building layouts and find weaknesses in enemy province design.","survey,buildings,weakness","utopia wiki"
Nightstrike Priority,strategy,"Nightstrike is most valuable against provinces with high offensive military that threaten kingdom attacks.","nightstrike,offense priority,sabotage","utopia wiki"
Wizard Kill Priority,strategy,"Assassinating wizards is valuable against provinces relying heavily on magic.","assassinate wizards,aw,mages","utopia wiki"
Population Pressure,strategy,"Reducing enemy peasants weakens economy, income, and recovery speed.","kidnap,peasants,economy","utopia wiki"
Economic Sabotage,strategy,"Economic operations reduce enemy resources and limit their ability to rebuild.","rob vaults,gold,economy","utopia wiki"
Honor Warfare,strategy,"Honor manipulation can weaken enemy bonuses and affect province effectiveness.","propaganda,honor,thievery","utopia wiki"
Operation Selection,strategy,"Choose operations based on the target role. Attackers, mages, and thieves have different vulnerabilities.","operations,target role,sabotage","utopia wiki"
Thief Defense,strategy,"Protect thieves because losing thief strength reduces intelligence and sabotage capability.","thieves,defense,tpa","utopia wiki"
Intel Chain,strategy,"A complete intel chain uses multiple information sources to build an accurate target picture.","intel chain,sot,som,survey","utopia wiki"
Pre Attack Checklist,strategy,"Before attacking verify target intel, offense requirements, defense values, and kingdom coordination.","attack checklist,intel,war preparation","utopia wiki"
