title,category,content,keywords,source
Race Selection Strategy,strategy,"Race choice determines province strengths, weaknesses, military options, and preferred battlefield role.","race,selection,build,province","utopia wiki"
Personality Selection Strategy,strategy,"Personality choice enhances a province role and should match the player's intended strategy.","personality,selection,role,build","utopia wiki"
Attacker Build Strategy,strategy,"Attacker provinces focus on offense, military strength, land gains, and coordinated kingdom attacks.","attacker,build,offense,land","utopia wiki"
Defender Build Strategy,strategy,"Defender provinces focus on survival, defense, and reducing enemy attack success.","defender,defense,build","utopia wiki"
Mage Build Strategy,strategy,"Mage provinces focus on wizards, rune production, spell casting, and magical support.","mage,wizards,magic,build","utopia wiki"
Thief Build Strategy,strategy,"Thief provinces focus on thieves, intelligence gathering, and sabotage operations.","thief,tpa,thievery,build","utopia wiki"
Hybrid Build Strategy,strategy,"Hybrid provinces combine multiple roles and require balancing military, magic, and thievery.","hybrid,build,roles","utopia wiki"
Province Optimization,strategy,"Province optimization balances buildings, military, population, science, and role requirements.","optimization,buildings,military","utopia wiki"
Race Strengths,strategy,"Each race has unique advantages that influence battlefield performance and preferred strategies.","race strengths,bonuses,strategy","utopia wiki"
Race Weaknesses,strategy,"Understanding race weaknesses helps identify enemy vulnerabilities and counter strategies.","race weaknesses,counters,strategy","utopia wiki"
Personality Strengths,strategy,"Personalities provide bonuses that shape province development and war performance.","personality bonuses,strategy","utopia wiki"
Personality Counters,strategy,"Enemy personalities can be analyzed to identify weaknesses and opportunities.","counter,personality,enemy analysis","utopia wiki"
Province Identity,strategy,"A province identity defines its role, responsibilities, and contribution to kingdom success.","province role,identity,kingdom","utopia wiki"
Kingdom Composition,strategy,"A balanced kingdom combines different province roles to cover offense, defense, magic, and thievery needs.","kingdom composition,roles,balance","utopia wiki"
Meta Strategy,strategy,"Strategy changes with age balance, race changes, kingdom goals, and opponent composition.","meta,age,strategy","utopia wiki"
