title,category,content,keywords,source

Spy on Throne,thievery_ops,"Reveals information about a target province including resources, military, buildings, and other available intelligence.","spy on throne,sot,throne intel,province intel","utopia wiki"
Survey,thievery_ops,"Reveals building distribution and efficiency information for a target province.","survey,buildings,building intel","utopia wiki"
Spy on Military,thievery_ops,"Reveals military composition and strength of a target province.","spy on military,som,military intel","utopia wiki"
Nightstrike,thievery_ops,"Kills enemy offensive military units using thieves. Useful before coordinated attacks to reduce enemy offense.","nightstrike,ns,kill offense,sabotage","utopia wiki"
Assassinate Wizards,thievery_ops,"Removes enemy wizards and weakens magical capability.","assassinate wizards,aw,wizards,sabotage","utopia wiki"
Rob the Vaults,thievery_ops,"Steals gold from a target province using thieves.","rob vaults,gold steal,money","utopia wiki"
Kidnap,thievery_ops,"Steals peasants from a target province, reducing population.","kidnap,peasants,steal peasants","utopia wiki"
Propaganda,thievery_ops,"Reduces enemy honor through thievery operations.","propaganda,honor,thievery","utopia wiki"
Spy on Throne,thievery_ops,"Intel operation that reveals province information including resources, military, buildings, and other details depending on success.","spy on throne,sot,throne intel,province intel","utopia wiki"
Spy on Military,thievery_ops,"Intel operation that reveals the military composition of a target province.","spy on military,som,military intel,troop intel","utopia wiki"
Survey,thievery_ops,"Intel operation that reveals building distribution and efficiency information for a target province.","survey,buildings,building intel,building layout","utopia wiki"
Nightstrike,thievery_ops,"Sabotage operation that kills enemy offensive military units using thieves. Useful before coordinated attacks to reduce enemy offense.","nightstrike,ns,kill offense,sabotage","utopia wiki"
Assassinate Wizards,thievery_ops,"Sabotage operation that removes enemy wizards and weakens magical strength.","assassinate wizards,aw,wizards,sabotage","utopia wiki"
Kidnap,thievery_ops,"Thievery operation that steals peasants from a target province.","kidnap,peasants,population,thievery","utopia wiki"
Rob the Vaults,thievery_ops,"Thievery operation that steals gold from a target province.","rob vaults,gold,robbery,money","utopia wiki"
Propaganda,thievery_ops,"Thievery operation that damages enemy honor.","propaganda,honor,thievery","utopia wiki"
Traditional March,hostile_ops,"Standard attack used to take land from an enemy province. A primary attack type during wars and coordinated waves.","traditional march,march,attack,land,wave","utopia wiki"
Ambush,hostile_ops,"Attack action used to counter a previous land attack and recover lost land.","ambush,retaliation,attack,land","utopia wiki"
Massacre,hostile_ops,"Attack focused on killing enemy population and weakening province strength.","massacre,population,kill,attack","utopia wiki"
Raze,hostile_ops,"Attack focused on destroying enemy land and buildings instead of gaining acres.","raze,buildings,destroy,attack","utopia wiki"
Plunder,hostile_ops,"Attack focused on stealing resources from an enemy province.","plunder,gold,resources,attack","utopia wiki"
Learn,hostile_ops,"Attack focused on gaining knowledge from an enemy province.","learn,science,attack","utopia wiki"
