title,category,content,keywords,source
Kingdom Communication,strategy,"Strong kingdoms coordinate attacks, intel, assignments, and timing through clear communication between members.","communication,coordination,kingdom,war","utopia wiki"
Attack Timing,strategy,"Attack timing is critical during wars. Coordinated attacks reduce enemy recovery options and maximize kingdom impact.","timing,waves,attacks,coordination","utopia wiki"
Target Calling,strategy,"Target calling assigns specific enemy provinces for kingdom members to attack based on strategic goals.","target calling,targets,assignments,war","utopia wiki"
Wave Preparation,strategy,"Before a wave, attackers should confirm targets, gather intel, prepare armies, and coordinate attack times.","wave prep,intel,army,coordination","utopia wiki"
Follow Up Attacks,strategy,"Follow up attacks continue pressure on enemy provinces after the initial wave.","follow up,attacks,pressure,war","utopia wiki"
Province Roles,strategy,"Provinces have different battlefield roles including attackers, hybrids, thieves, and mages.","roles,attacker,hybrid,thief,mage","utopia wiki"
Attacker Role,strategy,"Attackers focus on military strength and gaining land through offensive actions.","attacker,offense,land,gaining acres","utopia wiki"
Mage Role,strategy,"Mages use spells to support allies and weaken enemies through magical actions.","mage,wizards,spells,support","utopia wiki"
Thief Role,strategy,"Thieves provide intelligence and sabotage enemy provinces before and during wars.","thief,tpa,intel,sabotage","utopia wiki"
Hybrid Role,strategy,"Hybrid provinces combine multiple abilities such as attacking with magic or thievery support.","hybrid,attack,magic,thievery","utopia wiki"
Economic Role,strategy,"Economic strength supports military production, recovery, and long-term war performance.","economy,gold,recovery,province","utopia wiki"
Building Strategy,strategy,"Buildings determine province performance and should match the intended role and strategy.","buildings,be,province design","utopia wiki"
Military Strategy,strategy,"Military composition should balance offense, defense, losses, and province goals.","military,troops,offense,defense","utopia wiki"
Defense Strategy,strategy,"Defense protects provinces from enemy attacks and helps reduce losses during wars.","defense,dspa,protection","utopia wiki"
Offense Strategy,strategy,"Offense determines attack capability and land gaining potential.","offense,ospa,attacks","utopia wiki"
Intel Updates,strategy,"Updated intel is required because provinces change after attacks, spells, and operations.","intel,updates,sot,som","utopia wiki"
