title,category,content,keywords,source
Bribe Generals,thievery_ops,"A thievery operation that attempts to remove enemy generals and weaken military effectiveness.","bribe generals,generals,thievery,sabotage","utopia wiki"
Greater Arson,thievery_ops,"A thievery operation that damages enemy buildings and reduces province infrastructure.","greater arson,arson,buildings,sabotage","utopia wiki"
Fireball,spells,"An offensive spell that damages an enemy province by reducing peasants and resources.","fireball,offensive spell,damage","utopia wiki"
Meteor Showers,spells,"A powerful offensive spell that causes ongoing damage to an enemy province.","meteor showers,ms,offensive magic","utopia wiki"
Chastity,spells,"A spell that limits population growth and weakens enemy recovery.","chastity,population,magic","utopia wiki"
Amnesia,spells,"A spell that removes enemy knowledge and weakens science progress.","amnesia,science,magic","utopia wiki"
Greed,spells,"A spell that increases enemy losses and reduces economic efficiency.","greed,economy,magic","utopia wiki"
Pitfalls,spells,"A defensive spell that causes attacking armies to suffer additional losses.","pitfalls,pit trap,defense,magic","utopia wiki"
Explosions,hostile_ops,"An operation or attack effect that damages enemy structures and weakens a province.","explosions,damage,war","utopia wiki"
War Goals,hostile_ops,"Strategic objectives used by kingdoms during hostile actions and wars.","war goals,objectives,hostile","utopia wiki"
Hostile Meter,hostile_ops,"A measure of kingdom relations that determines access to certain hostile actions and war mechanics.","hostile meter,relations,unfriendly,war","utopia wiki"
Unfriendly Status,hostile_ops,"A kingdom relation state reached through hostile actions that enables additional interactions.","unfriendly,status,hostile,relations","utopia wiki"
Hostile Status,hostile_ops,"A kingdom relation state indicating active conflict and increased access to war actions.","hostile,status,war,relations","utopia wiki"
